순위,제목,평점,예매율,개봉일
1,야당,99,35.0,2025.04.16
2,거룩한 밤: 데몬 헌터스,99,7.7,2025.04.30
3,파과,99,6.8,2025.04.30
4,승부,97,6.5,2025.03.26
5,사유리,97,5.4,2025.04.16
6,A MINECRAFT MOVIE 마인크래프트 무비,99,4.2,2025.04.26
7,해피엔드,99,3.6,2025.04.30
8,플로우,96,3.4,2025.03.19
9,베러맨,85,2.7,2025.04.09
10,아마추어,89,2.5,2025.04.09
11,2025 스타레일 감상회 in CGV 앵콜 상영,96,2.2,2025.05.08
12,2025 ZEROBASEONE FAN-CON [BLUE MANSION] - 생중계,?,2.1,2025.04.19
13,드라이브 인 타이페이,77,2.1,2025.04.11
14,2025 스타레일 감상회 in CGV 생방송 특별 상영,99,1.8,2025.05.03
15,은혼 더 파이널,83,1.5,2025.04.18
16,백설공주와 일곱난쟁이,83,1.2,2025.04.10
17,브리짓 존스의 일기: 뉴 챕터,99,1.0,2025.04.16
18,마리아,99,1.0,2025.04.16
19,로비,82,0.9,2025.04.02
